name,quantity,set_code,finish,collector_number,purchase_price
"Aberrant Return",1,ecc,nonFoil,7,0.49
"Abzan Battle Priest",1,moc,nonFoil,164,0.49
"Abzan Falconer",1,moc,nonFoil,165,0.49
"Acid-Spewer Dragon",1,dtk,nonFoil,86,0.35
"Act of Treason",1,m12,nonFoil,121,0.35
"Adamant Will",1,vow,nonFoil,1,0.35
"Adelbert Steiner",1,fin,nonFoil,3,0.35
"Advance Scout",1,tmp,nonFoil,1,0.35
"Adventurer's Airship",1,fin,nonFoil,252,0.35
"Adventurous Impulse",1,j25,nonFoil,621,0.35
"Aethersnipe",1,lrw,nonFoil,50,0.35
"Agony Warp",1,mm3,nonFoil,150,0.35
"Agoraphobia",1,gtc,nonFoil,30,0.35
"Ainok Guide",1,j25,nonFoil,625,0.35
"Ainok Guide",1,frf,nonFoil,121,0.35
"Ajani's Sunstriker",1,m13,nonFoil,2,0.35
"Akki Blizzard-Herder",1,bok,nonFoil,91,0.35
"Akki Drillmaster",1,sok,nonFoil,92,0.35
"Akroma's Vengeance",1,a25,nonFoil,3,1.29
"Al Bhed Salvagers",3,fin,nonFoil,88,0.35
"Alharu, Solemn Ritualist",1,moc,nonFoil,168,0.35
"Altar's Light",1,mrd,nonFoil,1,0.35
"Amrou Scout",1,tsp,nonFoil,1,0.35
"Anaba Shaman",1,8ed,foil,175★,
"Ancestral Blade",1,cmr,nonFoil,5,0.35
"Ancestral Vengeance",2,frf,nonFoil,61,0.35
"Ancient Crab",1,akh,nonFoil,40,0.35
"Ancient Silverback",1,7ed,nonFoil,230,0.49
"Angel of the Ruins",1,fic,nonFoil,229,0.49
"Angelic Purge",1,inr,nonFoil,9,0.35
"Angelic Wall",1,ody,nonFoil,3,0.35
"Angler Drake",1,akh,nonFoil,41,0.35
"Annex",1,ons,nonFoil,63,0.35
"Apothecary Geist",1,soi,nonFoil,4,0.35
"Appeal to Eirdu",2,ecl,nonFoil,5,0.35
"Arachnus Web",1,m12,nonFoil,163,0.35
"Aradara Express",1,kld,nonFoil,195,0.35
"Arcbound Tracker",1,mh2,nonFoil,112,0.35
"Archfiend of Ifnir",1,ecc,nonFoil,70,0.49
"Arid Archway",1,otj,nonFoil,252,1.29
"Armorcraft Judge",1,moc,nonFoil,291,0.39
"Armored Kincaller",1,j25,nonFoil,630,0.35
"Armored Pegasus",1,tmp,nonFoil,5,0.35
"Artful Takedown",1,grn,nonFoil,151,0.35
"Ashmouth Hound",1,isd,nonFoil,128,0.35
"Asphyxiate",1,bng,nonFoil,60,0.35
"Atarka Efreet",1,dtk,nonFoil,128,0.35
"Audacious Infiltrator",1,aer,nonFoil,7,0.35
"Augmenting Automaton",1,aer,nonFoil,143,0.35
"Auntie Ool, Cursewretch",1,ecc,foil,2,0.99
"Auntie's Sentence",2,ecl,nonFoil,85,0.35
"Awaken the Bear",1,ktk,nonFoil,129,0.35
"Balamb Garden, SeeD Academy // Balamb Garden, Airborne",1,pfin,foil,272s,
"Baloth Woodcrasher",1,j25,nonFoil,633,0.35
"Balthier and Fran",1,fin,nonFoil,213,0.49
"Bannerhide Krushok",1,mh2,nonFoil,149,0.35
"Banon, the Returners' Leader",1,fic,nonFoil,78,0.49
"Barbed Bloodletter",2,ecl,nonFoil,86,0.35
"Barging Sergeant",1,grn,nonFoil,92,0.35
"Barret Wallace",1,fin,nonFoil,129,0.35
